ClassName,Duration
org.eclipse.californium.core.coap.BlockOptionTest,0.001
org.eclipse.californium.core.coap.CoapTest,0.0
org.eclipse.californium.core.coap.MessageTest,0.002
org.eclipse.californium.core.coap.RequestTest,0.014000000000000002
org.eclipse.californium.core.multicast.MulticastTest,3.556
org.eclipse.californium.core.network.CoapEndpointTest,0.001
org.eclipse.californium.core.network.EndpointManagerTest,0.0
org.eclipse.californium.core.network.GroupedMessageIdTrackerTest,0.0
org.eclipse.californium.core.network.InMemoryMessageExchangeStoreTest,0.0
org.eclipse.californium.core.network.InMemoryMessageIdProviderMulticastTest,0.0
org.eclipse.californium.core.network.InMemoryMessageIdProviderTest,1.041
org.eclipse.californium.core.network.MapBasedMessageIdTrackerTest,0.641
org.eclipse.californium.core.network.NullMessageIdTrackerTest,0.232
org.eclipse.californium.core.network.TcpMatcherTest,1.0339999999999998
org.eclipse.californium.core.network.UdpMatcherMulticastTest,0.0
org.eclipse.californium.core.network.UdpMatcherTest,0.0
org.eclipse.californium.core.network.deduplication.DeduplicatorTest,0.0
org.eclipse.californium.core.network.deduplication.PeersBasedDeduplicatorTest,1.2329999999999999
org.eclipse.californium.core.network.interceptors.AnonymizedOriginTracerTest,2.6350000000000002
org.eclipse.californium.core.network.serialization.DataParserTest,0.012
org.eclipse.californium.core.network.serialization.DataSerializerTest,0.005
org.eclipse.californium.core.network.stack.AbstractLayerTest,0.0
org.eclipse.californium.core.network.stack.BlockwiseLayerTest,0.0
org.eclipse.californium.core.network.stack.CoapStackTest,0.0
org.eclipse.californium.core.network.stack.CoapTcpStackTest,0.006
org.eclipse.californium.core.network.stack.CoapUdpStackTest,0.0
org.eclipse.californium.core.observe.ObservationTest,0.0
org.eclipse.californium.core.server.CoapServerTest,0.294
org.eclipse.californium.core.server.ServerMessageDelivererTest,0.0
org.eclipse.californium.core.test.AttributeMultiQueryTest,0.001
org.eclipse.californium.core.test.BlockwiseTransferTest,7.051
org.eclipse.californium.core.test.ClientAsynchronousTest,0.055
org.eclipse.californium.core.test.ClientSynchronousTest,0.211
org.eclipse.californium.core.test.MaliciousClientTest,2.235
org.eclipse.californium.core.test.MemoryLeakingHashMapTest,3.3020000000000005
org.eclipse.californium.core.test.MessageTypeTest,0.001
org.eclipse.californium.core.test.NotificationReregistrationBackoffTest,28.514000000000003
org.eclipse.californium.core.test.ObserveProActiveCancelTest,0.377
org.eclipse.californium.core.test.ObserveTest,2.833
org.eclipse.californium.core.test.OptionTest,0.0
org.eclipse.californium.core.test.RandomAccessBlockTest,0.007
org.eclipse.californium.core.test.RequestPayloadTest,0.029
org.eclipse.californium.core.test.ResourceAttributesTest,0.0
org.eclipse.californium.core.test.ResourceTreeTest,0.011
org.eclipse.californium.core.test.SmallServerClientTest,0.502
org.eclipse.californium.core.test.StartStopTest,1.315
org.eclipse.californium.core.test.lockstep.BlockwiseClientSideTest,4.701
org.eclipse.californium.core.test.lockstep.BlockwiseServerSideTest,6.316
org.eclipse.californium.core.test.lockstep.ClusteringTest,1.168
org.eclipse.californium.core.test.lockstep.DeduplicationTest,5.161
org.eclipse.californium.core.test.lockstep.ObserveClientSideTest,17.049
org.eclipse.californium.core.test.lockstep.ObserveServerSideTest,5.851999999999999
org.eclipse.californium.core.test.lockstep.ResponseRetransmissionTest,1.7599999999999998
org.eclipse.californium.core.test.lockstep.ServerDeduplicationTest,2.617
org.eclipse.californium.core.test.maninmiddle.LossyBlockwiseTransferTest,14.737
org.eclipse.californium.osgi.ManagedServerTest,0.261
org.eclipse.californium.proxy.HttpTranslatorTest,0.264
org.eclipse.californium.proxy2.CoapTranslatorTest,0.214
org.eclipse.californium.proxy2.HttpTranslatorTest,0.0
org.eclipse.californium.integration.test.SecureBlockwiseTest,0.0
org.eclipse.californium.integration.test.SecureNatTest,13.875
org.eclipse.californium.integration.test.SecureObserveTest,0.009000000000000001
org.eclipse.californium.integration.test.SecureTest,16.604
org.eclipse.californium.interoperability.test.LibCoapClientInteroperabilityTest,0.0
org.eclipse.californium.interoperability.test.LibCoapServerInteroperabilityTest,0.0
org.eclipse.californium.interoperability.test.OpenSslClientAuthenticationInteroperabilityTest,0.0
org.eclipse.californium.interoperability.test.OpenSslClientInteroperabilityTest,0.0
org.eclipse.californium.interoperability.test.OpenSslServerAuthenticationInteroperabilityTest,0.0
org.eclipse.californium.interoperability.test.OpenSslServerInteroperabilityTest,0.0
org.eclipse.californium.oscore.OSCoreOuterBlockwiseTest,1.5969999999999998
org.eclipse.californium.oscore.ByteIdTest,0.0
org.eclipse.californium.oscore.ContextRederivationTest,0.014
org.eclipse.californium.oscore.DecryptorTest,0.0
org.eclipse.californium.oscore.EncryptorTest,0.0
org.eclipse.californium.oscore.EndpointContextInfoTest,0.009000000000000001
org.eclipse.californium.oscore.HashMapCtxDBTest,0.41200000000000003
org.eclipse.californium.oscore.OSCoreCtxTest,0.001
org.eclipse.californium.oscore.OSCoreInnerBlockwiseTest,0.09100000000000001
org.eclipse.californium.oscore.OSCoreObserveTest,0.753
org.eclipse.californium.oscore.OSCoreOuterBlockwiseTest,0.562
org.eclipse.californium.oscore.OSCoreServerClientTest,0.009000000000000001
org.eclipse.californium.oscore.OSCoreTest,0.008
org.eclipse.californium.oscore.OSSerializerTest,0.006
org.eclipse.californium.oscore.OptionJuggleTest,0.0
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest,2.9550000000000005
org.eclipse.californium.elements.tcp.netty.TcpEndpointContextTest,11.143999999999998
org.eclipse.californium.elements.tcp.netty.TlsConnectorTest,0.486
org.eclipse.californium.elements.tcp.netty.TlsCorrelationTest,14.935999999999998
org.eclipse.californium.elements.DtlsEndpointContextMatcherTest,0.004
org.eclipse.californium.elements.EndpointContextUtilTest,0.011
org.eclipse.californium.elements.PrincipalEndpointContextMatcherTest,0.0
org.eclipse.californium.elements.TcpEndpointContextMatcherTest,0.0
org.eclipse.californium.elements.TlsEndpointContextMatcherTest,0.002
org.eclipse.californium.elements.UDPConnectorTest,0.956
org.eclipse.californium.elements.UdpEndpointContextMatcherTest,0.003
org.eclipse.californium.elements.auth.PreSharedKeyIdentityTest,0.0
org.eclipse.californium.elements.auth.RawPublicKeyIdentityTest,0.002
org.eclipse.californium.elements.util.Asn1DerDecoderTest,0.228
org.eclipse.californium.elements.util.Base64Test,0.175
org.eclipse.californium.elements.util.CertPathUtilTest,0.05400000000000001
org.eclipse.californium.elements.util.DatagramReaderTest,0.0
org.eclipse.californium.elements.util.LeastRecentlyUsedCacheTest,3.1320000000000006
org.eclipse.californium.elements.util.NamedThreadFactoryTest,0.001
org.eclipse.californium.elements.util.SslContextUtilConfigurationTest,0.009000000000000001
org.eclipse.californium.elements.util.SslContextUtilCredentialsTest,0.29100000000000004
org.eclipse.californium.elements.util.SslContextUtilTrustTest,0.559
org.eclipse.californium.elements.util.StringUtilTest,0.0
org.eclipse.californium.scandium.DTLSConnectorAdvancedTest,77.78900000000002
org.eclipse.californium.scandium.DTLSConnectorHandshakeTest,13.187999999999999
org.eclipse.californium.scandium.DTLSConnectorResumeTest,63.34299999999999
org.eclipse.californium.scandium.DTLSConnectorStartStopTest,19.505000000000003
org.eclipse.californium.scandium.DTLSConnectorTest,10.079999999999995
org.eclipse.californium.scandium.DTLSEndpointContextTest,2.3880000000000003
org.eclipse.californium.scandium.HelloExtensionNegotiationTest,0.034
org.eclipse.californium.scandium.auth.PrincipalSerializerTest,0.004
org.eclipse.californium.scandium.config.DtlsConnectorConfigTest,0.025
org.eclipse.californium.scandium.dtls.AlertMessageTest,0.014
org.eclipse.californium.scandium.dtls.CertificateMessageTest,0.003
org.eclipse.californium.scandium.dtls.CertificateRequestTest,0.006
org.eclipse.californium.scandium.dtls.ClientHandshakerTest,0.015000000000000003
org.eclipse.californium.scandium.dtls.ClientHelloTest,0.0
org.eclipse.californium.scandium.dtls.DTLSSessionTest,0.002
org.eclipse.californium.scandium.dtls.ECDHServerKeyExchangeTest,0.117
org.eclipse.californium.scandium.dtls.EcdhPskClientKeyExchangeTest,0.0
org.eclipse.californium.scandium.dtls.EcdhPskServerKeyExchangeTest,0.0
org.eclipse.californium.scandium.dtls.HandshakerTest,0.09700000000000002
org.eclipse.californium.scandium.dtls.HelloExtensionsTest,0.0
org.eclipse.californium.scandium.dtls.InMemoryConnectionStoreTest,0.010000000000000002
org.eclipse.californium.scandium.dtls.MaxFragmentLengthExtensionTest,0.009000000000000001
org.eclipse.californium.scandium.dtls.PskPublicInformationTest,0.003
org.eclipse.californium.scandium.dtls.ReassemblingHandshakeMessageTest,0.003
org.eclipse.californium.scandium.dtls.RecordDecryptTest,0.7210000000000003
org.eclipse.californium.scandium.dtls.RecordTest,0.0
org.eclipse.californium.scandium.dtls.ServerHandshakerTest,0.17900000000000005
org.eclipse.californium.scandium.dtls.ServerHelloTest,0.0
org.eclipse.californium.scandium.dtls.ServerNameExtensionTest,0.0
org.eclipse.californium.scandium.dtls.SignatureAndHashAlgorithmTest,0.001
org.eclipse.californium.scandium.dtls.cipher.CCMBlockCipherTest,0.15300000000000002
org.eclipse.californium.scandium.dtls.cipher.CbcBlockCipherTest,0.23799999999999996
org.eclipse.californium.scandium.dtls.cipher.PseudoRandomFunctionTest,0.0
org.eclipse.californium.scandium.dtls.cipher.SupportedGroupTest,3.0740000000000003
