ClassName,Duration
org.eclipse.jetty.jsp.TestJettyJspServlet,1.053
org.eclipse.jetty.jsp.TestJettyTldPreScanned,0.033
org.eclipse.jetty.jsp.TestJspFileNameToClass,0.003
org.eclipse.jetty.jstl.JspIncludeTest,0.604
org.eclipse.jetty.jstl.JstlTest,0.584
org.eclipse.jetty.embedded.ExampleServerTest,1.284
org.eclipse.jetty.embedded.ExampleServerXmlTest,0.14
org.eclipse.jetty.embedded.FastFileServerTest,0.045
org.eclipse.jetty.embedded.FileServerTest,0.045
org.eclipse.jetty.embedded.FileServerXmlTest,0.038
org.eclipse.jetty.embedded.JarServerTest,0.05
org.eclipse.jetty.embedded.LikeJettyXmlTest,5.93
org.eclipse.jetty.embedded.ManyConnectorsTest,0.476
org.eclipse.jetty.embedded.ManyContextsTest,0.07200000000000001
org.eclipse.jetty.embedded.ManyHandlersTest,0.061
org.eclipse.jetty.embedded.ManyServletContextsTest,0.143
org.eclipse.jetty.embedded.MinimalServletsTest,0.022
org.eclipse.jetty.embedded.OneConnectorTest,0.016
org.eclipse.jetty.embedded.OneContextTest,0.016
org.eclipse.jetty.embedded.OneHandlerTest,0.018
org.eclipse.jetty.embedded.OneServletContextJmxStatsTest,0.079
org.eclipse.jetty.embedded.OneServletContextTest,0.088
org.eclipse.jetty.embedded.OneServletContextWithSessionTest,0.021
org.eclipse.jetty.embedded.OneWebAppTest,0.977
org.eclipse.jetty.embedded.OneWebAppWithJspTest,2.536
org.eclipse.jetty.embedded.ProxyServerTest,0.805
org.eclipse.jetty.embedded.RewriteServerTest,0.037
org.eclipse.jetty.embedded.SecuredHelloHandlerTest,0.043
org.eclipse.jetty.embedded.ServerWithAnnotationsTest,0.226
org.eclipse.jetty.embedded.ServerWithJMXTest,2.165
org.eclipse.jetty.embedded.ServerWithJNDITest,0.11
org.eclipse.jetty.embedded.SimplestServerTest,0.012
org.eclipse.jetty.embedded.SplitFileServerTest,0.045
org.eclipse.jetty.embedded.WebSocketJsrServerTest,0.115
org.eclipse.jetty.embedded.WebSocketServerTest,0.056
org.eclipse.jetty.alpn.java.client.ConscryptHTTP2ClientTest,0.0
org.eclipse.jetty.alpn.conscrypt.server.ConscryptHTTP2ServerTest,1.601
org.eclipse.jetty.alpn.java.client.JDK9HTTP2ClientTest,1.439
org.eclipse.jetty.alpn.java.server.JDK9ALPNTest,1.762
org.eclipse.jetty.annotations.TestAnnotationConfiguration,0.577
org.eclipse.jetty.annotations.TestAnnotationDecorator,0.029
org.eclipse.jetty.annotations.TestAnnotationInheritance,0.113
org.eclipse.jetty.annotations.TestAnnotationIntrospector,0.017
org.eclipse.jetty.annotations.TestAnnotationParser,0.205
org.eclipse.jetty.annotations.TestRunAsAnnotation,0.016
org.eclipse.jetty.annotations.TestSecurityAnnotationConversions,0.010000000000000002
org.eclipse.jetty.annotations.TestServletAnnotations,0.02
org.eclipse.jetty.annotations.resources.TestResourceAnnotations,0.064
org.eclipse.jetty.ant.JettyAntTaskTest,1.108
org.eclipse.jetty.client.ClientConnectionCloseTest,12.946999999999997
org.eclipse.jetty.client.ConnectionPoolTest,12.0
org.eclipse.jetty.client.ContentResponseTest,1.5499999999999998
org.eclipse.jetty.client.HostnameVerificationTest,1.119
org.eclipse.jetty.client.HttpAuthenticationStoreTest,0.007
org.eclipse.jetty.client.HttpClientAsyncContentTest,4.386
org.eclipse.jetty.client.HttpClientAuthenticationTest,5.566
org.eclipse.jetty.client.HttpClientChunkedContentTest,3.029
