JobName,ID,URL,TimeStamp,Result,Test_TotalCount,Test_SkipCount,test_FailCount
nightlies » jetty-10.0.x-windows-nightly #220,220,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/220/,2020-06-15T07:36:00.226000,UNSTABLE,9719,883,12
nightlies » jetty-10.0.x-windows-nightly #219,219,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/219/,2020-06-14T07:36:00.226000,UNSTABLE,9719,883,18
nightlies » jetty-10.0.x-windows-nightly #218,218,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/218/,2020-06-13T07:36:00.233000,FAILURE,0,0,0
nightlies » jetty-10.0.x-windows-nightly #217,217,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/217/,2020-06-12T07:36:00.224000,UNSTABLE,9713,883,13
nightlies » jetty-10.0.x-windows-nightly #216,216,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/216/,2020-06-11T07:36:00.242000,UNSTABLE,9713,883,12
nightlies » jetty-10.0.x-windows-nightly #215,215,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/215/,2020-06-10T07:36:00.248000,UNSTABLE,9713,883,12
nightlies » jetty-10.0.x-windows-nightly #214,214,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/214/,2020-06-09T07:36:00.235000,UNSTABLE,9656,883,13
nightlies » jetty-10.0.x-windows-nightly #213,213,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/213/,2020-06-08T07:36:00.229000,UNSTABLE,9656,883,13
nightlies » jetty-10.0.x-windows-nightly #212,212,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/212/,2020-06-07T07:36:00.834000,UNSTABLE,9656,883,13
nightlies » jetty-10.0.x-windows-nightly #211,211,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/211/,2020-06-06T07:36:00.846000,UNSTABLE,9656,883,13
nightlies » jetty-10.0.x-windows-nightly #210,210,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/210/,2020-06-05T07:36:00.359000,UNSTABLE,9656,883,13
nightlies » jetty-10.0.x-windows-nightly #209,209,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/209/,2020-06-04T07:36:00.350000,UNSTABLE,9656,883,18
nightlies » jetty-10.0.x-windows-nightly #208,208,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/208/,2020-06-03T07:36:00.352000,UNSTABLE,9645,883,18
nightlies » jetty-10.0.x-windows-nightly #207,207,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/207/,2020-06-02T07:36:00.683000,UNSTABLE,9631,883,13
nightlies » jetty-10.0.x-windows-nightly #206,206,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/206/,2020-06-01T07:36:00.672000,UNSTABLE,9616,883,12
nightlies » jetty-10.0.x-windows-nightly #205,205,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/205/,2020-05-31T07:36:00.682000,UNSTABLE,9616,883,12
nightlies » jetty-10.0.x-windows-nightly #204,204,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/204/,2020-05-30T07:36:00.694000,UNSTABLE,9616,883,12
nightlies » jetty-10.0.x-windows-nightly #203,203,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/203/,2020-05-29T07:36:00.683000,UNSTABLE,9616,883,12
nightlies » jetty-10.0.x-windows-nightly #202,202,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/202/,2020-05-28T07:36:00.755000,UNSTABLE,9611,883,12
nightlies » jetty-10.0.x-windows-nightly #201,201,https://jenkins.webtide.net/job/nightlies/job/jetty-10.0.x-windows-nightly/201/,2020-05-27T07:36:00.690000,UNSTABLE,9645,883,12
