ClassName,Duration
org.apache.kafka.clients.ApiVersionsTest,0.0
org.apache.kafka.clients.ClientUtilsTest,0.336
org.apache.kafka.clients.ClusterConnectionStatesTest,0.015000000000000003
org.apache.kafka.clients.CommonClientConfigsTest,0.006
org.apache.kafka.clients.FetchSessionHandlerTest,0.605
org.apache.kafka.clients.InFlightRequestsTest,0.001
org.apache.kafka.clients.MetadataCacheTest,0.014
org.apache.kafka.clients.MetadataTest,0.05900000000000001
org.apache.kafka.clients.NetworkClientTest,0.12900000000000003
org.apache.kafka.clients.NodeApiVersionsTest,0.007
org.apache.kafka.clients.admin.ConfigTest,0.033
org.apache.kafka.clients.admin.DeleteConsumerGroupOffsetsResultTest,0.082
org.apache.kafka.clients.admin.KafkaAdminClientTest,6.441999999999999
org.apache.kafka.clients.admin.MemberDescriptionTest,0.001
org.apache.kafka.clients.admin.RemoveMembersFromConsumerGroupOptionsTest,0.001
org.apache.kafka.clients.admin.RemoveMembersFromConsumerGroupResultTest,0.012
org.apache.kafka.clients.admin.internals.AdminMetadataManagerTest,0.007
org.apache.kafka.clients.consumer.ConsumerConfigTest,0.021000000000000005
org.apache.kafka.clients.consumer.ConsumerGroupMetadataTest,0.006
org.apache.kafka.clients.consumer.ConsumerRecordTest,0.002
org.apache.kafka.clients.consumer.ConsumerRecordsTest,0.006
org.apache.kafka.clients.consumer.CooperativeStickyAssignorTest,24.900000000000002
org.apache.kafka.clients.consumer.KafkaConsumerTest,4.9469999999999965
org.apache.kafka.clients.consumer.MockConsumerTest,0.017
org.apache.kafka.clients.consumer.OffsetAndMetadataTest,0.027000000000000003
org.apache.kafka.clients.consumer.RangeAssignorTest,0.009000000000000001
org.apache.kafka.clients.consumer.RoundRobinAssignorTest,0.013000000000000001
org.apache.kafka.clients.consumer.StickyAssignorTest,22.795
org.apache.kafka.clients.consumer.internals.AbstractCoordinatorTest,2.4879999999999987
org.apache.kafka.clients.consumer.internals.AbstractPartitionAssignorTest,0.004
org.apache.kafka.clients.consumer.internals.ConsumerCoordinatorTest,12.412000000000011
org.apache.kafka.clients.consumer.internals.ConsumerInterceptorsTest,0.004
org.apache.kafka.clients.consumer.internals.ConsumerMetadataTest,0.753
org.apache.kafka.clients.consumer.internals.ConsumerNetworkClientTest,0.308
org.apache.kafka.clients.consumer.internals.ConsumerProtocolTest,0.004
org.apache.kafka.clients.consumer.internals.FetcherTest,3.9079999999999897
org.apache.kafka.clients.consumer.internals.HeartbeatTest,0.001
org.apache.kafka.clients.consumer.internals.OffsetForLeaderEpochClientTest,0.010000000000000002
org.apache.kafka.clients.consumer.internals.PartitionAssignorAdapterTest,0.396
org.apache.kafka.clients.consumer.internals.RequestFutureTest,0.007
org.apache.kafka.clients.consumer.internals.SubscriptionStateTest,0.018000000000000006
org.apache.kafka.clients.producer.KafkaProducerTest,9.825
org.apache.kafka.clients.producer.MockProducerTest,0.09500000000000003
org.apache.kafka.clients.producer.ProducerConfigTest,0.081
org.apache.kafka.clients.producer.ProducerRecordTest,0.009000000000000001
org.apache.kafka.clients.producer.RecordMetadataTest,0.032
